City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
226,selfoss,63.9331,-20.9971,10.02,94,100,3.28,IS,1718917394
227,tomaszow lubelski,50.4477,23.4162,13.13,82,70,0.52,PL,1718917135
228,khandyga,62.6667,135.6,16.59,64,35,1.28,RU,1718917396
229,akureyri,65.6835,-18.0878,8.96,76,75,5.66,IS,1718917397
230,cabo san lucas,22.8909,-109.9124,37.01,49,70,11.18,MX,1718917201
231,labrador city,52.9463,-66.9114,15.95,40,75,14.75,CA,1718917174
232,lompoc,34.6391,-120.4579,25.56,68,0,7.2,US,1718917203
233,jinghong,21.991,100.7341,22.24,93,100,0.54,CN,1718917402
234,san patricio,28.017,-97.5169,31.97,74,80,10.14,US,1718917403
235,ternate,0.8,127.4,25.64,81,99,1.8,ID,1718917404
236,rabo de peixe,37.8,-25.5833,19.73,99,75,2.57,PT,1718917405
237,shangmei,27.7428,111.2956,25.01,96,81,1.47,CN,1718917406
238,taltal,-25.4,-70.4833,16.66,74,36,2.99,CL,1718917220
239,vila velha,-20.3297,-40.2925,25.97,73,0,5.14,BR,1718917339
240,namdrik,5.5994,168.1028,29.11,77,100,7.46,MH,1718917410
241,san pedro pochutla,15.7333,-96.4667,27.06,65,99,3.69,MX,1718917411
242,north battleford,52.7834,-108.2847,21.05,37,40,4.63,CA,1718917228
243,port-vila,-17.7338,168.3219,22.78,94,75,0.51,VU,1718917413
244,hauterive,46.0901,3.4459,17.77,98,100,1.21,FR,1718917414
245,jingling,30.65,113.1,25.18,98,99,2.68,CN,1718917417
246,ciudad lazaro cardenas,17.9583,-102.2,26.82,83,100,3.36,MX,1718917141
247,whitehorse,60.7161,-135.0538,23.94,23,20,3.09,CA,1718917417
248,ambon,-3.6954,128.1814,25.49,95,75,2.57,ID,1718917420
249,porto novo,6.4965,2.6036,25.68,85,93,3.34,BJ,1718917421
250,shira,54.4911,89.9531,6.81,85,8,1.68,RU,1718917422
251,coahuayana de hidalgo,18.7,-103.6583,27.53,77,100,2.76,MX,1718917423
252,arraial do cabo,-22.9661,-42.0278,25.98,88,0,2.06,BR,1718917425
253,pariaman,-0.619,100.12,26.03,90,100,1.79,ID,1718917426
254,kapuskasing,49.4169,-82.4331,22.05,40,75,3.6,CA,1718917312
255,manaure,11.7751,-72.4445,32.34,54,100,6.55,CO,1718917428
256,garden city,42.3256,-83.331,33.38,72,100,6.17,US,1718917343
257,las khorey,11.1595,48.1967,33.46,55,100,3.86,SO,1718917430
258,sitka,57.0531,-135.33,13.61,78,100,2.25,US,1718917338
259,stanley,54.868,-1.6985,15.77,81,20,1.03,GB,1718917433
260,kamen'-na-obi,53.7884,81.3423,14.24,84,95,4.31,RU,1718917434
261,sao joao da barra,-21.6403,-41.0511,24.05,86,1,5.65,BR,1718917435
262,udachny,66.4167,112.4,11.95,94,100,5.8,RU,1718917436
263,orsha,54.5153,30.4053,13.16,81,2,5.71,BY,1718917437
264,vilyuchinsk,52.9306,158.4028,7.15,84,100,1.49,RU,1718917438
265,new norfolk,-42.7826,147.0587,8.29,82,100,0.85,AU,1718917439
266,eyl,7.9803,49.8164,26.75,77,16,11.19,SO,1718917440
267,yeppoon,-23.1333,150.7333,10.14,82,0,1.52,AU,1718917442
268,waddan,29.1614,16.139,29.94,31,0,8.15,LY,1718917444
269,qarauyl,48.9451,79.255,17.0,42,0,2.02,KZ,1718917445
270,tarauaca,-8.1614,-70.7656,26.44,79,79,1.55,BR,1718917210
271,muscat,23.6139,58.5922,34.66,37,1,1.49,OM,1718917087
272,kodinsk,58.6881,99.1844,3.18,98,45,1.65,RU,1718917448
273,juneau,58.3019,-134.4197,19.0,100,75,3.6,US,1718917450
274,zaxo,37.1482,42.7001,33.56,13,12,3.27,IQ,1718917451
275,iskateley,67.6803,53.1512,8.7,69,100,5.04,RU,1718917372
276,fort bragg,35.139,-79.006,33.28,41,75,3.6,US,1718917389
277,axum,14.1245,38.7244,17.12,66,64,1.41,ET,1718917454
278,skive,56.5667,9.0333,13.39,97,100,2.87,DK,1718917455
279,motygino,58.1831,94.7592,3.66,97,58,1.62,RU,1718917456
280,tofol,5.3248,163.0078,28.21,78,100,5.41,FM,1718917458
281,kiffa,16.6166,-11.4045,40.0,11,33,3.61,MR,1718917331
282,samraong,12.4526,105.5873,24.21,98,100,0.36,KH,1718917460
283,marica,-22.9194,-42.8186,24.97,78,0,3.78,BR,1718917461
